model,best_params,auc_mean,auc_std,dp_mean,dp_std,eo_mean,eo_std,f1_mean,f1_std
LR,{'C': 1},0.5813319495361573,0.007615811244577307,,,0.0318361066493572,0.014662018656896229,0.6295662950533433,0.005546631500380325
RF,"{'max_depth': 20, 'n_estimators': 100}",0.9171847030690078,0.0021498400594293704,,,0.09068516791560158,0.024131499752537512,0.7936937796464104,0.004018057424705521
